id_jogo,data_hora,fase,grupo,time_casa,time_fora,placar_real_casa,placar_real_fora,status_jogo,eh_jogo_do_brasil
1,2026-06-11 16:00,Grupos,A,Mexico,South Africa,0.0,2.0,finalizado,False
2,2026-06-11 19:00,Grupos,A,Korea Republic,Czechia,2.0,3.0,finalizado,False
3,2026-06-12 16:00,Grupos,B,Canada,Bosnia and Herzegovina,0.0,1.0,finalizado,False
4,2026-06-12 19:00,Grupos,D,USA,Paraguay,2.0,2.0,finalizado,False
5,2026-06-13 13:00,Grupos,C,Haiti,Scotland,3.0,2.0,finalizado,False
6,2026-06-13 16:00,Grupos,D,Australia,Turkiye,2.0,3.0,finalizado,False
7,2026-06-13 19:00,Grupos,C,Brazil,Marrocos,3.0,2.0,finalizado,True
8,2026-06-13 22:00,Grupos,B,Qatar,Switzerland,1.0,2.0,finalizado,False
9,2026-06-14 13:00,Grupos,E,Cote d'Ivoire,Ecuador,0.0,3.0,finalizado,False
10,2026-06-14 16:00,Grupos,E,Germany,Curacao,1.0,3.0,finalizado,False
11,2026-06-14 19:00,Grupos,F,Netherlands,Japan,2.0,2.0,finalizado,False
12,2026-06-14 22:00,Grupos,F,Sweden,Tunisia,1.0,1.0,finalizado,False
13,2026-06-15 13:00,Grupos,H,Saudi Arabia,Uruguay,5.0,4.0,finalizado,False
14,2026-06-15 16:00,Grupos,H,Spain,Cabo Verde,3.0,5.0,finalizado,False
15,2026-06-15 19:00,Grupos,G,IR Iran,New Zealand,2.0,0.0,finalizado,False
16,2026-06-15 22:00,Grupos,G,Belgium,Egypt,1.0,2.0,finalizado,False
17,2026-06-16 13:00,Grupos,I,France,Senegal,1.0,1.0,finalizado,False
18,2026-06-16 16:00,Grupos,I,Iraq,Norway,3.0,2.0,finalizado,False
19,2026-06-16 19:00,Grupos,J,Argentina,Algeria,2.0,0.0,finalizado,False
20,2026-06-16 22:00,Grupos,J,Austria,Jordan,2.0,1.0,finalizado,False
21,2026-06-17 13:00,Grupos,L,Ghana,Panama,1.0,1.0,finalizado,False
22,2026-06-17 16:00,Grupos,L,England,Croatia,2.0,2.0,finalizado,False
23,2026-06-17 19:00,Grupos,K,Portugal,Congo DR,0.0,2.0,finalizado,False
24,2026-06-17 22:00,Grupos,K,Uzbekistan,Colombia,3.0,2.0,finalizado,False
25,2026-06-18 13:00,Grupos,A,Czechia,South Africa,2.0,4.0,finalizado,False
26,2026-06-18 16:00,Grupos,B,Switzerland,Bosnia and Herzegovina,1.0,1.0,finalizado,False
27,2026-06-18 19:00,Grupos,B,Canada,Qatar,4.0,1.0,finalizado,False
28,2026-06-18 22:00,Grupos,A,Mexico,Korea Republic,2.0,0.0,finalizado,False
29,2026-06-19 13:00,Grupos,C,Brazil,Haiti,1.0,0.0,finalizado,True
30,2026-06-19 16:00,Grupos,C,Scotland,Marrocos,0.0,2.0,finalizado,False
31,2026-06-19 19:00,Grupos,D,Turkiye,Paraguay,3.0,0.0,finalizado,False
32,2026-06-19 22:00,Grupos,D,USA,Australia,2.0,1.0,finalizado,False
33,2026-06-20 13:00,Grupos,E,Germany,Cote d'Ivoire,2.0,1.0,finalizado,False
34,2026-06-20 16:00,Grupos,E,Ecuador,Curacao,3.0,2.0,finalizado,False
