id_participante,apelido,palpite_1_lugar,palpite_2_lugar,palpite_3_lugar,palpite_4_lugar,pontos_fase_final
1,Ana,Brasil,Franca,Argentina,Espanha,0
2,Bruno,Franca,Brasil,Inglaterra,Argentina,0
3,Cami,Alemanha,Portugal,Brasil,Franca,0
4,Diego,Brasil,Argentina,Franca,Inglaterra,0
5,Elisa,Espanha,Brasil,Portugal,Argentina,0
6,Felipe,Argentina,Franca,Brasil,Inglaterra,0
7,Gabi,Brasil,Franca,Inglaterra,Argentina,0
8,Hugo,Franca,Argentina,Brasil,Espanha,0
9,Iris,Inglaterra,Brasil,Franca,Argentina,0
10,Joao,Brasil,Franca,Argentina,Inglaterra,0
