id_palpite,id_participante,apelido,id_jogo,time_casa,time_fora,palpite_casa,palpite_fora,pontos_obtidos,criterio_pontuacao
1,1,Ana,1,Mexico,South Africa,2,0,0,
2,1,Ana,7,Brazil,Marrocos,2,1,0,
3,1,Ana,17,France,Senegal,1,0,0,
4,2,Bruno,1,Mexico,South Africa,1,1,0,
5,2,Bruno,7,Brazil,Marrocos,3,1,0,
6,2,Bruno,17,France,Senegal,2,2,0,
7,3,Cami,1,Mexico,South Africa,0,1,0,
8,3,Cami,7,Brazil,Marrocos,1,0,0,
9,3,Cami,17,France,Senegal,0,0,0,
10,4,Diego,1,Mexico,South Africa,1,0,0,
11,4,Diego,7,Brazil,Marrocos,2,0,0,
12,4,Diego,17,France,Senegal,2,1,0,
13,5,Elisa,1,Mexico,South Africa,0,0,0,
14,5,Elisa,7,Brazil,Marrocos,1,1,0,
15,5,Elisa,17,France,Senegal,3,1,0,
16,6,Felipe,1,Mexico,South Africa,2,1,0,
17,6,Felipe,7,Brazil,Marrocos,4,1,0,
18,6,Felipe,17,France,Senegal,1,1,0,
19,7,Gabi,1,Mexico,South Africa,3,0,0,
20,7,Gabi,7,Brazil,Marrocos,2,2,0,
21,7,Gabi,17,France,Senegal,0,1,0,
22,8,Hugo,1,Mexico,South Africa,1,2,0,
23,8,Hugo,7,Brazil,Marrocos,3,0,0,
24,8,Hugo,17,France,Senegal,2,0,0,
25,9,Iris,1,Mexico,South Africa,2,2,0,
26,9,Iris,7,Brazil,Marrocos,1,2,0,
27,9,Iris,17,France,Senegal,1,2,0,
28,10,Joao,1,Mexico,South Africa,4,0,0,
29,10,Joao,7,Brazil,Marrocos,2,1,0,
30,10,Joao,17,France,Senegal,1,0,0,
