id_jogo,placar_real_casa,placar_real_fora,status_jogo,origem
1,0,2,finalizado,simulacao_seed_2026
2,2,3,finalizado,simulacao_seed_2026
3,0,1,finalizado,simulacao_seed_2026
4,2,2,finalizado,simulacao_seed_2026
5,3,2,finalizado,simulacao_seed_2026
6,2,3,finalizado,simulacao_seed_2026
7,3,2,finalizado,simulacao_seed_2026
8,1,2,finalizado,simulacao_seed_2026
9,0,3,finalizado,simulacao_seed_2026
10,1,3,finalizado,simulacao_seed_2026
11,2,2,finalizado,simulacao_seed_2026
12,1,1,finalizado,simulacao_seed_2026
13,5,4,finalizado,simulacao_seed_2026
14,3,5,finalizado,simulacao_seed_2026
15,2,0,finalizado,simulacao_seed_2026
16,1,2,finalizado,simulacao_seed_2026
17,1,1,finalizado,simulacao_seed_2026
18,3,2,finalizado,simulacao_seed_2026
19,2,0,finalizado,simulacao_seed_2026
20,2,1,finalizado,simulacao_seed_2026
21,1,1,finalizado,simulacao_seed_2026
22,2,2,finalizado,simulacao_seed_2026
23,0,2,finalizado,simulacao_seed_2026
24,3,2,finalizado,simulacao_seed_2026
25,2,4,finalizado,simulacao_seed_2026
26,1,1,finalizado,simulacao_seed_2026
27,4,1,finalizado,simulacao_seed_2026
28,2,0,finalizado,simulacao_seed_2026
29,1,0,finalizado,simulacao_seed_2026
30,0,2,finalizado,simulacao_seed_2026
31,3,0,finalizado,simulacao_seed_2026
32,2,1,finalizado,simulacao_seed_2026
33,2,1,finalizado,simulacao_seed_2026
34,3,2,finalizado,simulacao_seed_2026
35,1,1,finalizado,simulacao_seed_2026
36,4,5,finalizado,simulacao_seed_2026
37,2,2,finalizado,simulacao_seed_2026
38,2,1,finalizado,simulacao_seed_2026
39,3,2,finalizado,simulacao_seed_2026
40,1,3,finalizado,simulacao_seed_2026
41,1,1,finalizado,simulacao_seed_2026
42,1,0,finalizado,simulacao_seed_2026
43,2,2,finalizado,simulacao_seed_2026
44,1,2,finalizado,simulacao_seed_2026
45,2,4,finalizado,simulacao_seed_2026
46,1,2,finalizado,simulacao_seed_2026
47,2,3,finalizado,simulacao_seed_2026
48,3,2,finalizado,simulacao_seed_2026
49,4,3,finalizado,simulacao_seed_2026
50,1,4,finalizado,simulacao_seed_2026
51,0,2,finalizado,simulacao_seed_2026
52,3,2,finalizado,simulacao_seed_2026
53,1,4,finalizado,simulacao_seed_2026
54,4,3,finalizado,simulacao_seed_2026
55,1,0,finalizado,simulacao_seed_2026
56,1,2,finalizado,simulacao_seed_2026
57,0,3,finalizado,simulacao_seed_2026
58,1,1,finalizado,simulacao_seed_2026
59,0,0,finalizado,simulacao_seed_2026
60,2,4,finalizado,simulacao_seed_2026
61,0,3,finalizado,simulacao_seed_2026
62,1,2,finalizado,simulacao_seed_2026
63,3,4,finalizado,simulacao_seed_2026
64,2,2,finalizado,simulacao_seed_2026
65,0,1,finalizado,simulacao_seed_2026
66,2,3,finalizado,simulacao_seed_2026
67,4,2,finalizado,simulacao_seed_2026
68,2,0,finalizado,simulacao_seed_2026
69,1,2,finalizado,simulacao_seed_2026
70,4,3,finalizado,simulacao_seed_2026
71,2,0,finalizado,simulacao_seed_2026
72,2,4,finalizado,simulacao_seed_2026
